source_id,l,b,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_sigma5d_max,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,dec_pseudocolour_corr,g_rp,ipd_frac_multi_peak,ipd_frac_odd_win,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,matched_transits,nu_eff_used_in_astrometry,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,parallax_pseudocolour_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_blended_transits,phot_bp_n_contaminated_transits,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_obs,pm,pmdec_pseudocolour_corr,pmra_pmdec_corr,pmra_pseudocolour_corr,pseudocolour,pseudocolour_error,ra_dec_corr,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ra_pseudocolour_corr
2414485448212792064,70.34819481543744,-74.49526906513623,0.35850584755064185,8.19170280091491,-10.158815365591806,16.769844,16.613232,17.088371,0.06335371,0.052105475,0.07740188,0.07705856,0.06108513,1.0371009,466.90756,0.30219477,4.0313168,0,326,0,326,0.11175242,-0.1566124,-0.47513962,-0.22810638,0.54014677,-0.0019968818,,-0.31852722,0,0,0.06738282,71.47094,45,1.8932691,4.6317463,-0.317224,-0.17514825,,3091.1776042281003,10.344902,298.81168,2,0,40,1.1516565,3689.8556768682784,2.9113874,1267.3873,385,0,1158.2687569015766,11.325265,102.272995,0,0,40,13.050116,,0.21973754,,,,0.04135903,0.28709018,-0.13648441,0.12890907,
2773760665114010880,106.00896059574792,-43.53573253462953,0.30996051926085705,6.712501009255147,-2.657927142791512,16.519869,16.385021,16.806425,0.05403389,0.038263258,0.07460493,0.066900976,0.042168107,1.0006218,454.045,0.23473531,3.3302133,0,342,0,342,0.09260218,-0.13484764,-0.42140388,-0.18092826,0.43095607,-0.07877263,,-0.28655624,0,0,0.025983429,14.944474,46,1.8707217,4.154692,-0.29709008,0.046650156,,3814.243976195722,13.247887,287.9134,0,0,46,1.1444135,4645.140727737471,3.3094814,1403.5857,399,0,1501.7175014671539,9.485491,158.31732,0,0,44,7.219574,,0.037340086,,,,0.17055658,0.18967897,-0.051582832,0.028270831,
2847977322031768832,107.64875044426888,-39.04878514169373,1.1792638313773907,5.391933456475227,-12.112534219061866,14.219558,14.110446,14.426654,0.025606332,0.017843436,0.035943106,0.03463637,0.019030232,1.0745636,1453.2808,0.22509664,28.046457,2,469,0,471,0.049009994,-0.109111786,-0.3162079,-0.06945689,0.44524774,0.11869034,,-0.2070961,0,0,0.048039336,22.734196,63,1.8411088,32.809177,-0.10428788,-0.21603501,,30991.204436405988,29.01768,1068.0111,61,0,61,1.149725,38647.69240516205,16.81864,2297.9084,532,0,13443.01306397155,12.14879,1106.531,59,0,59,13.258448,,0.031882834,,,,0.20173495,0.1776487,0.18540566,-0.26455322,
2313130542218587008,0.815691361686121,-77.38813198945911,0.36605519489154126,15.378720126794136,-15.192124297829736,16.474659,16.31113,16.792944,0.046253983,0.047781542,0.06733792,0.047502533,0.056518715,1.0284297,483.20764,0.28839123,5.062373,1,324,0,325,0.09120646,-0.16352844,-0.48181343,-0.15772156,0.3991732,0.3107292,,-0.318285,0,0,0.030116932,88.6896,40,1.8862469,5.436093,-0.22490779,-0.35236067,,4082.863238619564,18.656385,218.84535,1,0,33,1.1570812,4842.652018345974,3.7498019,1291.4421,323,0,1520.4784358231848,8.477394,179.35681,1,0,35,21.617254,,0.40378702,,,,0.15605657,0.20049211,0.16532657,-0.23292448,
2765454164004531328,103.52140730129169,-49.95549008850384,1.6149388429882283,-3.8937589340667795,-11.751797758298913,13.589941,13.4897995,13.77793,0.02797716,0.02038427,0.035220418,0.038543344,0.027677178,1.130108,1446.2869,0.22520618,32.45622,0,355,0,355,0.05411332,-0.100141525,-0.28813076,-0.18970297,0.11262177,-0.30125582,,-0.18798923,0,0,0.1420607,62.977562,46,1.8293883,45.85235,-0.32044262,0.11213604,,54890.50027072053,62.58671,877.03125,23,0,42,1.1493027,69019.25366423097,33.259747,2075.1587,363,0,24433.513791623514,20.021246,1220.3793,25,0,41,12.380069,,0.12905708,,,,0.2801664,0.14201988,-0.29507935,0.031808168,
2546039089602718592,96.93877478588524,-60.249428057385764,-0.6679846012913138,1.442440901231376,-4.2746871953880445,19.229649,19.313213,19.15806,0.27536318,0.20567332,0.3528049,0.34527725,0.21018206,0.9727692,324.81943,0.0,0.0,5,335,0,340,0.49334148,0.08356476,0.15515327,-0.42548758,0.56215554,-0.23222455,,0.071588516,0,0,0.08699091,72.39328,50,1.7290968,-1.893354,-0.5377231,0.023064867,,257.11724950983813,7.0913024,36.258114,2,0,42,1.1211178,382.9016414115291,0.91092014,420.346,429,0,172.1606174222599,6.675871,25.788488,0,0,42,4.511495,,0.2229156,,,,0.20165911,0.21896102,-0.23493472,-0.24584223,
2443124255783107968,92.12815256097444,-65.16498861295455,1.3721010991221878,-11.172656682732548,-18.56824355742034,13.5159855,13.594923,13.2527685,0.08994022,0.06675854,0.11662297,0.10627277,0.07113714,4.4421496,5875.533,0.6122,222.77782,0,242,0,242,0.15034151,0.07893753,0.3421545,-0.32429183,0.51935184,-0.21881244,,0.26321697,0,0,0.02741469,35.781033,42,1.687154,11.765273,-0.3913269,0.2413929,,49825.02953459955,109.14463,456.50464,0,0,39,1.2107774,73884.33359923429,64.36564,1147.8848,328,0,39632.45264220674,91.772224,431.85672,0,0,39,21.670439,,0.16748144,,,,0.21330015,0.25992396,-0.18952028,0.015225215,
2309587292982876544,351.0374572496619,-76.38780650091358,0.9230293645485527,7.743409461564818,-5.995443211365257,14.468839,14.335396,14.7218075,0.025355881,0.031247312,0.041826703,0.027748251,0.03463593,1.1480169,1115.8143,0.26456296,24.994892,1,306,0,307,0.054412,-0.13344288,-0.38641167,-0.2861674,0.29115173,0.23123133,,-0.2529688,0,0,0.03362709,71.41078,35,1.8568388,22.067945,-0.29260695,-0.43177325,,25191.76818632134,40.131714,627.7272,1,0,31,1.1535082,30719.299817842817,17.25264,1780.5565,304,0,10243.193865066229,18.694908,547.9136,1,0,29,9.793147,,0.32718155,,,,0.111787975,0.16621658,0.05951161,-0.12783386,
2333105610478918144,23.141890298817167,-78.91195344089796,0.5170835413702725,6.700329675397033,-6.961420132209909,16.212355,16.055603,16.543478,0.04647944,0.0396271,0.058174822,0.050657645,0.046969134,0.9915166,424.7138,0.26059246,5.134161,0,285,0,285,0.07221215,-0.15675163,-0.48787498,-0.17472878,0.23047248,-0.052937564,,-0.33112335,1,0,0.049422033,67.36039,39,1.884368,8.888442,-0.2715775,0.06383183,,5166.254446949483,17.250711,299.48065,0,0,37,1.1481451,6166.017467813838,4.5269175,1362.0786,327,0,1913.2285060987558,9.292485,205.88986,0,0,34,9.66208,,0.08749309,,,,-0.002526732,0.3432484,-0.12937027,0.25147623,
2846319155418023424,107.42280333021158,-41.39542984912401,0.4015779672960334,-7.951747688468668,-0.651175036914518,15.581263,15.467056,15.913262,0.04103421,0.038391404,0.049600095,0.05776612,0.053222958,0.9475465,330.53452,0.20262392,4.836969,2,217,0,219,0.08427676,-0.114206314,-0.4462061,-0.25551054,-0.41746128,-0.23953156,,-0.33199978,0,0,0.0111821415,165.4265,33,1.8602308,8.096314,-0.046253107,-0.0016831032,,8883.707639500775,38.895832,228.39742,1,0,32,1.1156969,11026.602328397903,7.5124044,1467.786,277,0,3418.638703582178,73.74422,46.35806,1,0,32,7.978366,,0.11771583,,,,0.28353012,0.13379075,-0.33899483,-0.026489066,
2849938472818734720,109.03616945410366,-37.3612370202212,0.4415329266066519,3.8425831931080485,2.689176314048862,16.355886,16.281155,16.50189,0.042055897,0.032297295,0.06267495,0.05834715,0.04205681,1.047079,529.72864,0.20372336,3.2944157,1,403,0,404,0.08137413,-0.07473183,-0.22073555,-0.07011688,-0.019518405,-0.026149185,,-0.14600372,0,0,0.03679311,4.858536,53,1.8164043,7.0448074,-0.10681109,-0.15430248,,4197.157766425884,11.338615,370.16492,7,0,49,1.1448642,5402.467250005519,3.3307233,1622.0103,454,0,1987.9333415142783,8.69426,228.64896,8,0,51,4.6901083,,0.04392664,,,,0.3879578,-0.08878511,0.013479973,-0.12915626,
2339774698257101312,48.049408351795805,-78.60563452803294,1.5081317888971444,6.770986892488441,-18.522886935595245,13.25408,13.124957,13.513894,0.028634703,0.0236228,0.037428305,0.038136404,0.028159957,1.001878,1717.587,0.2605611,54.92601,1,294,0,295,0.052993122,-0.12912273,-0.388937,-0.34695616,0.40839654,-0.036278747,,-0.25981426,0,0,0.015113805,33.896378,40,1.8580248,40.293884,-0.4619785,0.15187873,,76812.90406275346,85.60789,897.26434,2,0,38,1.1481553,94040.51102941872,58.56932,1605.6274,342,0,31160.213826439922,28.894495,1078.4135,1,0,37,19.721653,,-0.014412247,,,,0.007480083,0.18734796,-0.06696411,-0.0025729744,
2415007505781366528,74.55894475166906,-74.51039497808445,1.1570919010261465,17.442101043038598,-0.17644574228846988,12.582513,12.515217,12.671868,0.050084446,0.03288659,0.05050468,0.070639074,0.03716659,1.3572246,7304.3403,0.42138487,209.91649,0,316,299,316,0.09993344,-0.06729603,-0.1566515,-0.052385382,0.38465974,-0.2405123,,-0.08935547,0,0,0.029297229,151.20502,41,1.8069192,22.910587,-0.22994734,-0.16218607,,134688.4456989501,144.5357,931.8697,0,0,40,1.1592705,174558.67820536366,74.60004,2339.9275,340,0,67672.2887867455,42.011772,1610.7935,2,0,40,17.442993,,-0.032174308,,,,-0.08227647,0.06050263,-0.21171087,0.3257441,
2853226523686020736,109.74463674186715,-35.735234021680384,0.7324856152624373,1.1899708688407695,-1.4023468860076338,19.634361,19.629845,19.722296,0.27222928,0.1987099,0.39720306,0.4416802,0.2596239,1.0246735,555.89594,0.50197333,0.39488468,1,512,0,513,0.6160896,-0.0045166016,-0.092451096,-0.1986628,0.16779403,0.08183421,,-0.087934494,0,0,0.038720887,7.4282384,66,1.8404273,1.8441087,-0.1492368,-0.19324568,,192.07852371708572,5.901596,32.54688,2,0,59,1.1164286,263.7557217684235,0.6989145,377.3791,580,0,102.3859256935873,6.0627136,16.887806,1,0,58,1.8391867,,-0.073664665,,,,0.39669743,-0.22319609,0.20734052,-0.16360654,
2854091981071865344,110.26342299087511,-33.889962452967616,1.743519844555903,4.54849410614406,-19.230080796267018,13.308936,13.199559,13.523189,0.02253956,0.016562361,0.032914158,0.031552467,0.018544411,1.0132859,2433.6638,0.23674583,60.64751,0,486,0,486,0.044041026,-0.10937691,-0.32362938,0.0063408664,0.43018037,0.051415794,,-0.21425247,0,0,0.01968071,25.743364,64,1.8439826,52.97173,-0.09354166,-0.07915535,,71712.24105161848,53.02841,1352.3362,0,0,60,1.147636,89407.1304772259,38.999504,2292.5198,540,0,30894.603977520725,21.025484,1469.3884,3,0,59,19.760689,,-0.15826125,,,,0.18569577,0.22854973,0.17032307,-0.10246283,
2848140084112307968,108.96612929375296,-38.554518513511525,0.4736945430263634,4.779264050490819,-3.6008351154889664,14.868116,14.862957,14.821754,0.026626693,0.028945783,0.035656705,0.034280766,0.038832195,1.1547995,439.8686,0.1452066,5.0908275,1,265,0,266,0.060638838,-0.005159378,0.041202545,-0.25804037,-0.5759258,-0.23076816,,0.046361923,0,0,0.018388579,160.34317,37,1.757752,13.284865,0.20991962,-0.11625453,,15496.510447865723,28.354366,546.52997,0,0,36,1.16797,21266.696325539175,11.873195,1791.152,317,0,9342.35257079102,11.034003,846.6875,1,0,35,5.983927,,0.2152729,,,,0.42372882,-0.011204918,-0.34732282,-0.20331095,
2545743600148435584,97.92293041427159,-61.20959622622504,0.5622871352928667,7.734655123864368,-7.803462111159412,16.720211,16.571657,17.006207,0.14236996,0.097809784,0.14493886,0.29458988,0.07077156,0.97457796,393.37097,0.2290258,2.5713189,3,322,0,325,0.4303516,-0.14855385,-0.43454933,-0.60205007,0.7496278,-0.78826857,,-0.28599548,0,0,0.08428646,12.299264,48,1.8770484,3.8794782,-0.5858616,0.5152729,,3211.838795092582,10.376762,309.52225,3,0,44,1.1550106,3862.444268751965,3.6065805,1070.9436,373,0,1249.3251958537792,7.990028,156.36055,3,0,44,10.987216,,-0.42842296,,,,-0.4081826,0.28120962,-0.4587875,0.6183198,
2336589275632410496,44.605995160538164,-79.10570952682251,1.4258479204389438,12.03509777986361,-29.984058948222085,13.822977,13.665878,14.124424,0.045440808,0.030367376,0.04891685,0.06191812,0.03793156,1.1850183,1804.5658,0.34341115,56.270622,0,259,0,259,0.08578837,-0.15709877,-0.45854568,-0.26238295,0.3943883,-0.03356796,,-0.3014469,0,0,0.0326114,152.73784,41,1.8800535,29.1484,-0.39037776,0.08397803,,46672.992058033116,73.063614,638.7994,1,0,37,1.1570109,55687.258454066825,36.935757,1507.6788,323,0,17757.774463364196,23.299566,762.15045,36,0,36,32.309246,,-0.012120961,,,,-0.006492549,0.051331595,-0.03216686,0.09163023,
384250868341348352,113.6124748724341,-20.48096206659246,0.6674886919716736,4.448842287034029,-1.0211215767482547,15.112933,14.981648,15.357138,0.029477047,0.021736545,0.047773674,0.033396717,0.0258941,0.956612,783.92163,0.21875851,11.837011,3,407,0,410,0.05419466,-0.13128471,-0.37548923,-0.038049486,-0.029207012,0.1044427,,-0.24420452,0,0,0.020380702,57.226536,54,1.8606515,13.971893,0.17473164,-0.45672113,,13891.766785979851,20.238096,686.4167,0,0,48,1.1545815,16973.586843176363,9.263281,1832.3516,426,0,5705.624310972099,9.668541,590.12256,0,0,47,4.5645247,,-0.14474538,,,,-0.09110797,0.37746644,0.15594675,-0.5520005,
2333936291513550336,33.61876139331713,-79.66213103319065,0.46129288922500505,1.7100431084271428,-1.6068494307597527,15.990884,15.868659,16.24134,0.04566785,0.046219982,0.058847554,0.05415216,0.053894468,1.1292607,456.84033,0.2877847,7.2709203,2,248,0,250,0.08706775,-0.12222481,-0.37268162,-0.24857995,0.45862812,0.09066878,,-0.2504568,0,0,0.025783427,44.909138,35,1.8551226,7.8387775,-0.32636306,-0.09664708,,6136.959367457166,22.100931,277.67877,0,0,32,1.1458504,7561.244991408568,9.326442,810.732,298,0,2527.09638855809,15.263863,165.56075,0,0,31,2.346532,,0.25950286,,,,0.14971906,0.20944199,-0.008496378,0.14097823,
2745620073750746624,103.29069500075231,-54.30246020650893,0.20872993027446113,3.247876477729665,-3.0375294495341136,16.797178,16.725267,16.929056,0.06709316,0.044314966,0.06968287,0.08976923,0.061534982,0.9659221,346.05704,0.0,0.0,0,330,0,330,0.12705873,-0.07191086,-0.20378876,-0.16811612,-0.16890402,-0.3487026,,-0.1318779,0,0,0.09989534,70.55996,48,1.8121125,2.995427,-0.07967511,0.034791786,,2788.109379796524,14.240586,195.78613,2,0,46,1.1476673,3598.11571687256,3.0080628,1196.1571,372,0,1341.3302850703537,13.310723,100.77065,1,0,43,4.4469414,,0.13026795,,,,0.31975263,-0.014457813,-0.4333491,0.2639987,
2309702230603610112,351.59102034075875,-77.557840563213,0.628472888069364,6.6454817227400325,0.2524402375081431,15.179113,15.233682,15.027879,0.027093936,0.03233522,0.040189553,0.029839672,0.037206955,1.3169188,602.1816,0.23543784,11.647417,4,307,0,311,0.056792345,0.05456829,0.20580292,-0.2935743,0.26367706,0.21762879,,0.15123463,0,0,0.030108344,61.445896,38,1.7231083,15.637718,-0.24761294,-0.29538545,,11013.974610014957,39.081955,281.81738,36,0,36,1.1735154,15969.877358515112,17.158655,930.71844,308,0,7726.922788600688,36.98984,208.8931,38,0,38,6.6502748,,0.30632246,,,,0.1054504,0.065748274,0.08619031,-0.22143883,
2545662545526065152,98.41863986860145,-61.75218552824452,0.16814620155085988,0.49108128398109335,-9.784209956719142,17.680725,17.52447,17.943832,0.124718115,0.090957165,0.14164506,0.16276537,0.08715744,1.1111737,494.1396,0.47190642,3.414857,0,354,9,354,0.22808272,-0.15625572,-0.41936302,-0.22557396,0.46326303,-0.28458068,0.042526208,-0.2631073,0,0,0.048666134,28.640455,50,,1.1870954,-0.2803319,-0.018106904,-0.013033367,1335.4555231511313,8.136601,164.1294,35,0,46,1.167821,1594.619525968682,2.1386104,745.6335,412,0,526.7746891755539,9.67223,54.46259,32,0,43,9.796526,0.01386828,0.20350099,0.06414252,1.8332264,0.023260655,0.27940726,-0.084854744,-0.13389876,-6.300581E-4,0.058216363
2546593965017189888,100.15804615995658,-59.69807712064565,1.2798035373905514,-6.5653956878889534,0.0352026722295328,18.92316,18.789907,19.254007,0.26844946,0.21938452,0.34317392,0.32686296,0.25807407,1.0859389,261.72375,0.53850234,0.9049876,2,218,9,220,0.50128484,-0.1332531,-0.46409988,-0.47059494,-0.26212078,-0.32846498,,-0.3308468,0,0,0.12052486,66.448715,34,1.85571,3.7293146,0.10999717,0.18360323,,416.34565845493165,8.952708,46.504997,2,0,32,1.1302854,507.7878772082478,1.3277147,382.45255,261,0,157.59955490923633,10.047397,15.685611,0,0,31,6.5654902,,0.36585933,,,,0.24665374,0.192573,-0.26823294,-0.12944578,
2850115386816340992,110.30564058061074,-36.64656557895824,0.43091217329793646,1.0780660886280478,-1.7025662302418898,19.826849,19.824335,20.086802,0.28640983,0.28440306,0.3764538,0.40273744,0.5166125,1.0280582,454.962,1.0237882,1.4445848,4,413,0,417,0.75294834,-0.0025138855,-0.26246643,-0.08797283,-0.4119095,-0.14826392,,-0.25995255,0,0,0.038140953,23.520601,56,1.8534348,1.1446615,0.08456569,-0.067562394,,160.57692590896755,7.63709,21.02593,1,0,51,1.0582098,220.90566432442424,0.7518778,293.80527,488,0,73.18760181675131,6.0651965,12.066814,0,0,48,2.015182,,0.22437695,,,,0.4754929,-0.043698106,-0.23032276,-0.16442269,
2333646741998127744,29.10518964294826,-80.07257182224113,1.5200890831569962,19.783279336921847,-9.800804477994152,13.916922,13.764099,14.200764,0.029171878,0.025067985,0.03665391,0.036418058,0.028362459,0.945182,1108.2566,0.24882391,33.167,0,272,0,272,0.05064538,-0.1528225,-0.43666458,-0.3029997,0.35766587,-0.03380528,,-0.2838421,0,0,0.032943405,108.41158,38,1.8774142,41.471405,-0.3433045,-0.06668176,,42636.08322870774,91.20139,467.49377,1,0,37,1.158929,51071.439060251476,39.344738,1298.05,323,0,16552.08507229831,21.433193,772.2641,3,0,34,22.077906,,0.07453366,,,,-0.008864577,0.23794365,-0.12139593,0.032269627,
4616472055105140608,303.7757964726129,-30.81453492477005,0.269533828256529,11.511430144394655,1.1245328170242346,16.034145,15.9821415,16.130175,0.030142386,0.029797416,0.032102313,0.037151724,0.036257494,0.95341974,381.74814,0.0816743,0.65290326,1,353,0,354,0.053058155,-0.05200386,-0.14803314,-0.12475598,-0.1748166,0.14745979,,-0.09602928,0,0,0.031227136,108.85049,46,1.7957526,8.396088,-0.22205985,-0.10302747,,5527.901087347351,17.08055,323.6372,43,0,43,1.1461028,7265.883526301739,4.681007,1552.2052,404,0,2799.548584640528,14.07944,198.83948,42,0,42,11.566227,,8.414533E-4,,,,-0.063062765,-0.0067633344,0.1269969,-0.31234437,
2767874292175410560,106.91790589839073,-47.903605529767844,2.0534671871505026,-1.8361469692774632,-19.580549998850792,13.047603,12.998431,13.129296,0.023637205,0.02042763,0.028515777,0.029370666,0.02693246,0.9279727,713.42914,0.1626782,21.556528,0,220,9,220,0.04469128,-0.049171448,-0.1308651,-0.2713219,-0.36258674,-0.20843035,,-0.08169365,0,0,0.030999586,12.233944,32,1.7931317,72.01162,0.014465136,-0.040242106,,86306.68235866254,102.71051,840.29065,0,0,30,1.149242,113738.00126854765,59.661083,1906.4019,265,0,44405.816194021965,48.75161,910.85846,0,0,28,19.666452,,0.25048378,,,,0.32850543,0.050297692,-0.28250736,0.0049905204,
2797051138888605568,108.72926917561377,-43.54592764835389,1.278842386690804,12.035052069754926,-2.721281278973821,14.354733,14.198737,14.638471,0.039823253,0.036463976,0.048343293,0.050258983,0.05143912,1.1155152,1060.5648,0.30095226,31.156404,0,254,0,254,0.08307402,-0.15599632,-0.4397335,-0.22228144,-0.46744683,-0.2869534,,-0.28373718,0,0,0.019054243,7.8020988,37,1.8723332,26.453356,-0.035564937,-0.06862389,,28570.78182627085,47.13686,606.124,0,0,33,1.1614043,34123.482144127796,29.583687,1153.456,318,0,11060.376664376925,14.8618765,744.2113,1,0,32,12.338876,,0.2991171,,,,0.3405803,0.12955028,-0.3808432,0.05821975,
395429431270137728,116.10284582572606,-10.910964106457893,2.4088798124697726,30.04298131179177,-0.7271707779743847,13.271208,13.104274,13.582099,0.020167451,0.022952842,0.03551964,0.027468,0.030951878,1.0397232,5506.6245,0.3096926,104.52338,1,667,0,668,0.05075738,-0.16693401,-0.47782516,-0.0760708,-0.09548574,0.108952686,,-0.31089115,0,0,0.051846758,121.24941,88,1.8848193,67.81825,0.22035836,-0.20918363,,78290.17843250073,82.808136,945.4407,3,0,84,1.1618751,92568.60367706435,37.874092,2444.114,728,0,29262.983646537403,15.188729,1926.6249,30,0,82,30.05178,,-0.5122762,,,,-0.4546364,0.13508496,0.13142514,-0.2770854,
393589879591384576,115.71903550907261,-13.184322698194126,0.6245981688789202,-2.1707907410355785,-0.6099574901919638,15.888843,15.815279,16.022188,0.021557497,0.026346426,0.04315253,0.03385953,0.032259192,1.0603489,863.6927,0.19560292,5.7120104,2,588,0,590,0.04998415,-0.073563576,-0.20690918,-0.071683414,-0.08158268,0.10003707,,-0.1333456,0,0,0.011591623,80.669205,73,1.8175436,14.4741955,0.21645708,0.0056981724,,6446.219939737469,13.991251,460.7322,31,0,66,1.1483428,8306.343630799924,4.4341345,1873.2728,614,0,3092.310733517762,9.591005,322.4178,37,0,65,2.254857,,-0.16743523,,,,-0.24619202,0.10463421,0.101623386,-0.096036375,
2337199672088826112,53.359030975046046,-79.5128306169811,0.23311743972783328,0.10588034098487052,-10.944803137603069,17.077948,16.97553,17.304125,0.0775279,0.05337772,0.084135935,0.089650825,0.06283614,1.0050803,316.04065,0.077239476,0.1746728,5,276,0,281,0.13220985,-0.10241699,-0.3285942,-0.2827876,0.38049045,-0.21637574,,-0.22617722,0,0,0.024058944,1.4520215,39,1.8482864,2.7707238,-0.39836165,0.07028959,,2214.1368152657938,10.698392,206.95978,1,0,35,1.1387362,2778.2249875740845,2.4165115,1149.6841,334,0,949.5286425082626,9.846322,96.43485,0,0,32,10.945315,,-0.015549231,,,,-0.14031297,0.27638867,-0.2670884,0.45666346,
2738907482247205376,101.87039364966995,-58.982574139763116,0.2807050117616156,9.096869000198023,-5.061488301237318,18.43338,18.349566,18.534445,0.20289001,0.18613465,0.2575506,0.2590784,0.21890862,1.0415239,241.14793,0.4787604,1.116381,1,219,0,220,0.4027196,-0.08381462,-0.1848793,-0.5029831,-0.028793745,-0.20921564,,-0.10106468,0,0,0.17582744,63.718357,34,1.8042159,1.0899024,-0.097014695,-0.018537827,,624.5841819524026,9.370962,66.65102,2,0,32,1.1669406,797.2505952991422,1.6070459,496.09695,257,0,305.7598949331246,9.637137,31.727253,0,0,32,10.410172,,0.43089032,,,,0.5397621,-0.27122015,-0.22582206,-0.014920149,
2766032919436757504,106.84304142734698,-49.245071642402884,1.1549666753801933,22.09652968336215,10.567917663215862,14.60169,14.508626,14.767584,0.04351652,0.032107662,0.04889428,0.06039095,0.043989956,1.1054636,528.81744,0.23142618,14.766142,3,216,0,219,0.09180576,-0.09306431,-0.25895786,-0.31230682,-0.4113662,-0.38443258,,-0.16589355,0,0,0.01985832,167.66197,33,1.8271621,23.621716,-0.10310752,0.3464218,,21476.65381125411,32.72117,656.3535,0,0,31,1.151414,27181.315835962327,17.119156,1587.772,286,0,9820.29413565232,15.998884,613.8112,0,0,30,24.493622,,0.23687248,,,,0.45725566,-0.19952467,-0.28165603,-0.5242328,
2444473386613639808,96.17935493016692,-65.83632751731814,0.15144595150750217,7.363376973279027,-2.3025905329087735,17.478777,17.449722,17.488308,0.09078631,0.066255435,0.10766341,0.10738031,0.07273171,0.9555972,431.34512,0.0,0.0,1,448,0,449,0.15438963,-0.029054642,-0.038585663,-0.25717944,0.6383958,-0.10493594,,-0.009531021,0,0,0.060241763,158.53334,60,1.7815349,1.4066613,-0.4810019,-0.0198238,,1430.6309829599904,14.024306,102.01082,3,0,47,1.162141,1920.5967161496253,1.6537199,1161.3796,455,0,801.3731110877887,8.631362,92.84434,6,0,47,7.715001,,0.31513816,,,,0.14044629,0.3521123,-0.24762046,0.0104049,
2340386610838189952,59.39754859357111,-79.20037563192732,0.8418555523837054,-0.02078755261490224,7.887503317113306,15.013514,14.866331,15.294607,0.050457522,0.03149484,0.05707474,0.0503044,0.038663924,1.0622971,604.80634,0.2657582,14.058928,0,228,0,228,0.07531607,-0.14718246,-0.42827606,-0.2795234,0.30257222,-0.23640493,,-0.2810936,0,0,0.028495088,74.55651,35,1.8708261,14.750054,-0.45728773,0.1560357,,15448.439736125016,38.95086,396.6136,1,0,31,1.155425,18601.217154844628,12.769388,1456.7039,303,0,6043.870461483586,16.628283,363.46933,2,0,30,7.887531,,0.01579277,,,,-0.10578302,0.47423926,-0.3758428,0.30514705,
2335246080444203520,36.23885183429902,-80.72632156858008,1.5578376627966923,-1.455461784271711,7.770275156196403,12.789095,12.718574,12.87814,0.045530967,0.033967733,0.05319479,0.052701764,0.039028566,1.1416688,3469.1086,0.37099487,127.978485,1,251,207,252,0.07610801,-0.070521355,-0.15956688,-0.2975512,0.3246312,-0.20775707,,-0.089045525,0,0,0.032593716,55.393414,36,1.8128492,29.28553,-0.23357673,0.2668602,,111683.14151802825,209.99791,531.8298,0,0,34,1.1616766,144314.05843775463,86.57174,1666.988,299,0,55963.123185045486,30.929037,1809.404,0,0,32,7.905412,,0.011164799,,,,-0.06961322,0.3006606,-0.20365785,0.26572064,
2740514903824114944,102.96830399080389,-58.3865148323917,0.6101145307953924,0.267079358268557,-5.0041575557547056,16.068407,15.940438,16.322283,0.05663564,0.047002435,0.06482724,0.07340579,0.056576706,1.0569258,551.3445,0.23868318,5.2400246,0,341,0,341,0.1167249,-0.12796879,-0.38184452,-0.31453952,-0.29585007,-0.4975953,,-0.25387573,0,0,0.05728041,62.37878,48,1.8596597,9.411391,-0.13026276,0.23084593,,5744.359622498161,10.651071,539.32227,1,0,44,1.1491048,7040.185962651661,5.0601187,1391.3085,375,0,2345.5518430730035,9.142833,256.5454,2,0,42,5.0112796,,0.40261188,,,,0.6863126,-0.18317726,-0.4330953,-0.3395586,
2798503868626695552,109.99082361217503,-41.83369926542596,0.2412431939141391,-2.253382662906209,-4.395410822364831,11.594526,11.496357,11.776555,0.035256863,0.035476107,0.045855056,0.04547,0.048139524,1.06861,5009.039,0.3204337,153.18027,2,360,362,362,0.08066503,-0.09816933,-0.2801981,-0.18499368,-0.5242357,-0.21961403,,-0.18202877,0,0,0.050742242,38.882072,50,1.8310814,5.2609944,0.06823773,-0.011842803,,344250.0917874235,291.23773,1182.0244,0,0,48,1.1498076,433646.9372984631,207.73177,2087.5332,411,0,154360.45647448298,56.35236,2739.2012,0,0,47,4.939369,,0.4061365,,,,0.55012804,-0.12505798,-0.22881731,-0.4637009,
